yearnum,od_diemed,od_dieQ025,od_dieQ975,odmed,odQ025,odQ975,oudmed,oudQ025,oudQ975,moudmed,moudQ025,moudQ975
2013,0.1883702875578252,0.12852120063345512,0.3087476392090534,1.3283109166028448,1.0325451873666374,1.5384717583639733,4.171646230477595,3.661156190256051,4.66689556219925,4.2017551591966775,3.788340006248053,4.466409541210175
2014,0.3064413743933557,0.2178913627687362,0.49508635924229094,1.5822630810653404,1.3155550267161815,1.9104599909584086,4.386498138184734,3.951703192261293,4.848101938651255,5.847431550847913,5.374906312458361,6.207649113038652
2015,0.53170929450587745,0.4336193299249429,0.6980395711545007,1.9410735555722631,1.732991146113371,2.4624659097233814,4.401341219602838,3.814343167597703,5.143606519587237,7.242804803562567,6.6403148404337,7.624592606793662
2016,0.7764063825936793,0.5866405786097402,0.979845850618446,2.422750660451576,1.9317776538522644,2.8727074029805904,4.320927410286548,3.871817446580801,5.0173032205798584,8.26134671945745,7.437242750975139,8.818837897053953
2017,1.1635856395558157,0.9312015835233749,1.3466856696907645,2.7967942014370104,2.3297742445728638,3.1512303572330858,4.361437650761303,3.9770090225005568,4.83936963561875,9.1221251468917,8.28100915792662,9.534865403225908
2018,1.4972792245228348,1.2117599462644486,1.7797100308281693,3.160667282053234,2.6754364143059037,3.4230936362997517,4.26508927585871,3.7809891589967153,4.836525235344537,9.441864697580362,8.90852843069886,9.806069823697818
2019,1.8268390027711714,1.498053969048557,2.1988194912482033,3.33170621578779,2.9390174963636646,3.998836037851392,4.147125229663612,3.6803907653746846,4.684698570957121,9.507141250137211,8.925133234492707,9.99457505382044
2020,2.3509901354321134,2.001765716784835,2.6106756751310223,3.7033455811255074,3.2606986595238565,4.162378162914684,4.175103977030339,3.830065936918073,4.523318668057748,9.35355236976158,8.86592659170851,10.10759979624629
2021,2.779361817232571,2.5564379243452957,3.0540955404557053,4.005418106625813,3.5885781214721155,4.285893626459256,4.055717722875501,3.6741468415230862,4.507170045219199,9.032768966291396,8.51924859601123,9.751878529608643
2022,0.060380402001297094,0.009543901948965242,0.15219619750217786,0.08049909764545404,0.02966140029014648,0.20193493655040373,2.7953759450069526,2.371930095125114,2.9756659242351446,7.5112947056315065,6.900214589970602,8.091858871310622
